ID,product_type,size,text,rating
332,Multi-purpose ladder,20ft,Product quality is good! Although Certis delivery is terrible. Had to lodge multiple complaints to get it delivered. Take note when order. And the seller wasn't really helpful as well,5
333,Multi-purpose ladder,20ft,Highly recommended… genuine product…,5
334,Multi-purpose ladder,20ft,"very good item, Most reasonable price , Thanks ",5
335,Multi-purpose ladder,20ft,"The ladder is easy to setup to different configurations. It is very sturdy when locks are engaged, even when in it is setup in the flat work platform configuration, it does not wiggle under load. ",5
336,Multi-purpose ladder,20ft,Highly Recommended ,5
337,Multi-purpose ladder,20ft,Delivered in 3 days. Quality heavy duty product as seen on site. Quite satisfied.,5
338,Multi-purpose ladder,20ft,"good build quality, worth the value spent on it",5
339,Multi-purpose ladder,20ft,Good item .Nice packing. thanks Daraz ,5
340,Multi-purpose ladder,20ft,Good qulity & fast deliver ,5
341,Multi-purpose ladder,20ft,The situation is precious in the multipurpos. Ladder.The goods had a pack of non-syrup.👍,5
342,Multi-purpose ladder,20ft,"One of the best product I ever purchased, no issue but took a time to understand locking mechanism. Thanks for the product.",5
343,Multi-purpose ladder,20ft,Good product. package was damaged during delivery & there were some scratches. ,4
344,Multi-purpose ladder,20ft,very good quality and greatly multi purposes.hope durability will be also good,5
345,Multi-purpose ladder,20ft,The worst delivery service I have ever seen.😡 ,3
346,Multi-purpose ladder,20ft,good quality ,5
347,Multi-purpose ladder,20ft,"Fantastic ladder, well recommend and thanks to the shop for safe delivery. 👍",5
348,Multi-purpose ladder,20ft,Quality product 👌 Recommended ,5
349,Multi-purpose ladder,20ft,good peoduct,5
350,Multi-purpose ladder,20ft,"The ladder arrived safely on time. packed very well, probably too much of bubble wrap..",4
351,Multi-purpose ladder,20ft,Superb high quality product. Very strong and steady ,5
352,Multi-purpose ladder,20ft,ok for 10ft climbing but less support and wobbly beyond that.,3
353,Multi-purpose ladder,20ft,Good Quality,5
354,Multi-purpose ladder,20ft,Very unprofessional service,1
355,Multi-purpose ladder,20ft,"As discribe, and the quality is perfect. Made for hard use. Thanks",5
356,Multi-purpose ladder,20ft,it's too big to handle indoors. however not bad for good heights,4
357,Multi-purpose ladder,20ft,Good product!,5
358,Multi-purpose ladder,20ft,fast deliver... very good product ❤️❤️❤️,5
359,Multi-purpose ladder,20ft,Quality product ,5
360,Multi-purpose ladder,20ft,Valuable product for price,4
361,Multi-purpose ladder,20ft,"Good product, 👍very useful ",5
362,Multi-purpose ladder,20ft,value for money ,4
363,Multi-purpose ladder,20ft,Good quality.. same as description... ✌️,5
364,Multi-purpose ladder,20ft,Great product. Useful in many occasions ,5
365,Multi-purpose ladder,20ft,Good condition,5
366,Multi-purpose ladder,20ft,Perfect product 👌,5
367,Multi-purpose ladder,20ft,Good product. ,5
368,Multi-purpose ladder,20ft,very BAD deliver comiunication. Paid by card and noone has known that. because of that wasted my time and late deliver. ,3
369,Multi-purpose ladder,20ft,It was delivered in good condition !,5
370,Multi-purpose ladder,20ft,I received the Multi purpose ladder in good condition. It's good quality product. I did tested it to climb. #WIN,5
371,Multi-purpose ladder,20ft,It's in good condition. Happy about the product and nice packaging. But I have requested for easy payment for 24 months with Sampath card.But when checking my card transactions it is not visible as . Please rectify,5
372,Multi-purpose ladder,20ft,"well packed but not cleaned, aluminium dust in the item. poor original packaging . price is high but poor quality",3
373,Multi-purpose ladder,20ft,"What a nice product , Really useful and user friendly . Seller and product highly recommended 👍👍👍🔥🔥🔥",5
374,Multi-purpose ladder,20ft,The high quality manufactured manner.It is easy to pay from place.Can packed in a small space.,5
375,Multi-purpose ladder,20ft,"Received my product on time, delivery team was very helpful. Ladder actually very strong & no hesitation to recommend anyone who interested. Thanks Daraz & Swisstek.",5
376,Multi-purpose ladder,20ft,Super product. Easy to mange as its very lightweight. Very steady and does not sway like other ladders. ,5
377,Multi-purpose ladder,20ft,Absolutely fantastic...Quickcly received me...This ladder is very usefull...Worth for Price...I recommemded this product & seller😊😊😊😊😊😊,5
378,Multi-purpose ladder,20ft,"Even though the product was amazing, the service was terrible. No one could say where the item was in any given time and nobody had the contacts of the courier. Very unprofessional service and took more than 10 days to deliver after being shipped, as it came from some other country. Terrible customer service.",1
379,Multi-purpose ladder,20ft,I have receved the ladder in good condition. Thank you. But I have bought it for sampath bank easy payment scheme.(for 40 months)But when I checked with my statement and the bank it was chaged once.They told me to inform you to make it 40 to months instalments. So please make sure to convert it to instalment payment.,5
380,Multi-purpose ladder,20ft,Took long time to deliver the product. But it is very good in quality and safely delivered with good packing. I need your kind advice to change this product to a smaller size product as this is difficult to handle inside my house. please let me how can I change this product.,5
381,Multi-purpose ladder,20ft,Fast delivery. Worth for the price. And good product . Totally guarantee any product from Swissteck♥️,5
382,Multi-purpose ladder,20ft,Amazing product. High quality. Fully satisfied with the product.Good for home and DIY use. Recommended product.,5
383,Multi-purpose ladder,20ft,"Loved the product,The warehouse person called me to make sure that I got the good, Came in well packed manner.",5
384,Multi-purpose ladder,20ft,nicely packed and delivered on time. very solid ladder.. thank u Swisstek and daraz for ur tremendous service and support,5
385,Multi-purpose ladder,20ft,worth the price. highly satisfied. swisstek was kind enough to call me after few days to get a feedback upon my usage. overall great product,5
386,Multi-purpose ladder,20ft,it's as advertised very good product and durable. if you are a home owner buy 16ft one instead 20ft it's little bit harder to move around ,5
387,Multi-purpose ladder,20ft,Used this product for more than six months now. Tested this ladder in extreme conditions. Can recommend this as a superb product.,5
388,Multi-purpose ladder,20ft,didn't give me the a bill or any warranty document and even did not take my signature only ask NIC number. how i clame the warranty if required.,5
389,Multi-purpose ladder,20ft,"It is really a good one 100% recommended it Thank you for the great price. I bought for 16,065 + shipping cost",5
390,Multi-purpose ladder,20ft,a good item for the price. cannot handle by one person. alwsys keep some one when it is 20 feet up. ,5
391,Multi-purpose ladder,20ft,"Good quality product as described, pay more attention in delivery it's took almost one month to deliver. If you are going to buy this ask daraz to not sent this through ABS courier.",5
392,Multi-purpose ladder,20ft,Worth every penny i spent on this.,5
393,Multi-purpose ladder,20ft,Good product . Quality is excellent . ,5
394,Multi-purpose ladder,20ft,Good product. highly recommended.,5
395,Multi-purpose ladder,20ft,Excellent product. User friendly and easy to handle. Highly recommend. Delivered on time too.,5
396,Multi-purpose ladder,20ft,Very good product thanks,5
397,Multi-purpose ladder,20ft,good product. durable.,5
398,Multi-purpose ladder,20ft,Good quality product but not user friendly for changing the configuration of the ladder,4
399,Multi-purpose ladder,20ft,Delivered with in 2 days in good quality. packed well. happy about service and quality.,5
400,Multi-purpose ladder,20ft,It seems to be a quality product. Hope it will last several years without issues ,5
401,Multi-purpose ladder,20ft,Good product Highly recommend the seller as well. Very quality product as well,5
402,Multi-purpose ladder,20ft,thank you,5
403,Multi-purpose ladder,20ft,#win,5
404,Multi-purpose ladder,20ft,Excellent product ,5
405,Multi-purpose ladder,20ft,Good product,5
406,Multi-purpose ladder,20ft,Great,5
407,Multi-purpose ladder,20ft,thanks,5
408,Multi-purpose ladder,20ft,Very good product ,5
409,Multi-purpose ladder,20ft,Honestly very helpful product easy to use and compact one brought 20FT one,5
410,Multi-purpose ladder,20ft,Slowest deliver ever in Daraz for my orders. But the product seems good.,4
411,Multi-purpose ladder,20ft,"The best service I've received in daraz. There was a small dent on a step bar, probably damaged by the delivery agents. The ladder was perfectly usable. However I messaged the seller without much hope. To my surprise, the seller and personally sent me a brand new ladder to my doorstep within 2 working days and also gifted me an extra set of screws. The seller is very kind and replies within a few minutes. The product is really good and strong for the price. Highly recommending the seller and the product as well. ",5
412,Multi-purpose ladder,20ft,good.. but bit hard to set up.. and slow delivery time.. took 4+ days ,5
413,Multi-purpose ladder,20ft,Very good product Delivery done within 36 hours Excellent service,5
414,Multi-purpose ladder,20ft,It is really helpful. Well packed. Fast delivery. Thank you Daraz. ,5
415,Multi-purpose ladder,20ft,"After 2 rejected time, finally ladder was received. Good ladder.",5
416,Multi-purpose ladder,20ft,Good quality & safe delivery.Thank you Daraz 👍🏼👍🏼👍🏼😊😊😊,5
417,Multi-purpose ladder,20ft,Super quality stuff A+++ think twice about which size you want,5
418,Multi-purpose ladder,20ft,A very good quality product. I would really recommend it.,5
419,Multi-purpose ladder,20ft,Feels sturdy but the locking mechanism is a bit stubborn.,4
420,Multi-purpose ladder,20ft,it's really good product as mentioned. Recommended seller,5
421,Multi-purpose ladder,20ft,A must have item in your house. Highly recommended,5
422,Multi-purpose ladder,20ft,"good product, but delivery delayed more than one month.",5
423,Multi-purpose ladder,20ft,Received a good product and it worth for money. Thanks!,5
424,Multi-purpose ladder,20ft,Fast delivery. 100% as described. Totally satisfied. ,5
425,Multi-purpose ladder,20ft,man ladeer 2 oder keruwa. hodatama hodai. thanks daraz,5
426,Multi-purpose ladder,20ft,A very useful innings.A lot of work can be done.,5
427,Multi-purpose ladder,20ft,I PLACED ORDER UNFORTUNATELY I DIDN'T RECEIVE IT. BUT DELIVERY STATUS SHOWING ITS DELIVERED. ,1
428,Multi-purpose ladder,20ft,Product is really good. received within a few days.,5
429,Multi-purpose ladder,20ft,Great quality product and really happy to buy it.,5
430,Multi-purpose ladder,20ft,good product.. Worth to price..recommend to buy..,5
431,Multi-purpose ladder,20ft,good and valuable product. Recommend the seller.,5
432,Multi-purpose ladder,20ft,product as described. Good quality. satisfied. ,5
433,Multi-purpose ladder,20ft,"Well packaged & delivered, very useful ladder.",5
434,Multi-purpose ladder,20ft,"genuine product, valued for the price 💪💪💪💪",5
435,Multi-purpose ladder,20ft,Well packing braned goods and worth for money,5
436,Multi-purpose ladder,20ft,good itam. man oder 2 keruwa. hodatama hodai ,5
437,Multi-purpose ladder,20ft,Good quality. Well packed and fast delivery.,5
438,Multi-purpose ladder,20ft,Good product. packed well. delivered quickly,5
439,Multi-purpose ladder,20ft,I Didn't get the item please send it to me ,1
440,Multi-purpose ladder,20ft,"Really Disappointed. Although installment payment methods are mentioned, there is no installment facility.",1
441,Multi-purpose ladder,20ft,"fast delivery. good product for home use, ",5
442,Multi-purpose ladder,20ft,Good product. Not heavy and very useful 👍,5
443,Multi-purpose ladder,20ft,Quick deliver and good quality 😍 thanks ,5
444,Multi-purpose ladder,20ft,Good quality. satisfied with mt purchase ,5
445,Multi-purpose ladder,20ft,Good quality. satisfied with mt purchase ,5
446,Multi-purpose ladder,20ft,Highly satisfied with the item & seller.,5
447,Multi-purpose ladder,20ft,"Good quality , safely packed & delivered",5
448,Multi-purpose ladder,20ft,Worth for money. Good one. Recommended..,5
449,Multi-purpose ladder,20ft,excellent product..quality is excellent ,5
450,Multi-purpose ladder,20ft,Thank you Daraz..!!! Very fast service.,4
451,Multi-purpose ladder,20ft,Great product. Fast deliver. All good.,5
452,Multi-purpose ladder,20ft,Item recieved in pristine condition 😍,5
453,Multi-purpose ladder,20ft,Delivered next day. Excellent Product.,5
454,Multi-purpose ladder,20ft,ideal partner for day today home works,5
455,Multi-purpose ladder,20ft,"Excellent product, delivered on time. ",5
456,Multi-purpose ladder,20ft,Money well spent and excellent ladder,5
457,Multi-purpose ladder,20ft,Item is well packed and works fine. ,5
458,Multi-purpose ladder,20ft,Good!! Item receive with in 2days.. ,5
459,Multi-purpose ladder,20ft,Recommended. Delivered Very Qickly !,5
460,Multi-purpose ladder,20ft,happy with the product. satisfied. ,5
461,Multi-purpose ladder,20ft,"Very well, worth the money ...",5
462,Multi-purpose ladder,20ft,Good product. Get amazing discount,5
463,Multi-purpose ladder,20ft,Good quality and value for money. ,5
464,Multi-purpose ladder,20ft,Good Condition ladder . thank you ,5
465,Multi-purpose ladder,20ft,The ladder is damaged beyond use.,1
466,Multi-purpose ladder,20ft,A very good and useful product. ,5
467,Multi-purpose ladder,20ft,nice n neat also very useful one,5
468,Multi-purpose ladder,20ft,Quality product ..recommended ..,5
469,Multi-purpose ladder,20ft,Very useful item. Good quality.,5
470,Multi-purpose ladder,20ft,Highly recommend this product. ,5
471,Multi-purpose ladder,20ft,Goodly good 👍👍👍👍😘😘😘😘😘,5
472,Multi-purpose ladder,20ft,nice product. shipped quickly.,5
473,Multi-purpose ladder,20ft,Good Product. Value for Money.,5
474,Multi-purpose ladder,20ft,Quick delivery within two days,5
475,Multi-purpose ladder,20ft,Good product. Worth for money.,5
476,Multi-purpose ladder,20ft,very useful product.I'm happy,5
477,Multi-purpose ladder,20ft,Very sturdy and easy to use.,5
478,Multi-purpose ladder,20ft,Recommended quality product ,5
479,Multi-purpose ladder,20ft,thanks darazs.good product. ,5
480,Multi-purpose ladder,20ft,Good product. fast delivery.,5
481,Multi-purpose ladder,20ft,Item is in great condition. ,5
482,Multi-purpose ladder,20ft,verry good product...thanks,5
483,Multi-purpose ladder,20ft,excellent product &service ,5
484,Multi-purpose ladder,20ft,Good quality. Recommended. ,5
485,Multi-purpose ladder,20ft,Very good product thank you,5
486,Multi-purpose ladder,20ft,good product. Fast delivery,5
487,Multi-purpose ladder,20ft,Bit damaging but allright.,5
488,Multi-purpose ladder,20ft,Good product. Recommended.,5
489,Multi-purpose ladder,20ft,"Very good, Solid product",5
490,Multi-purpose ladder,20ft,"Good product, thank you",5
491,Multi-purpose ladder,20ft,Good quality product.,5
492,Multi-purpose ladder,20ft,good quality product,5
493,Multi-purpose ladder,20ft,Good quality product ,5
494,Multi-purpose ladder,20ft,Good quality product,5
495,Multi-purpose ladder,20ft,Good quality product,5
496,Multi-purpose ladder,20ft,Everything was fine.,5
497,Multi-purpose ladder,20ft,very handy product ,5
498,Multi-purpose ladder,20ft,Awesome product ❤️,5
499,Multi-purpose ladder,20ft,its pretty good 😌,5
500,Multi-purpose ladder,20ft,Good Product 👍,5
501,Multi-purpose ladder,20ft,Average quality ,3
502,Multi-purpose ladder,20ft,product was good,5
503,Multi-purpose ladder,20ft,quality product,5
504,Multi-purpose ladder,20ft,good product 👍,5
505,Multi-purpose ladder,20ft,Worth the price,5
506,Multi-purpose ladder,20ft,Good product 😊,5
507,Multi-purpose ladder,20ft,quality product,5
508,Multi-purpose ladder,20ft,fast delivery.,5
509,Multi-purpose ladder,20ft,Good Quality. ,5
510,Multi-purpose ladder,20ft,Good product ,5
511,Multi-purpose ladder,20ft,As described ,5
512,Multi-purpose ladder,20ft,good product ,5
513,Multi-purpose ladder,20ft,Great product,5
514,Multi-purpose ladder,20ft,good product.,5
515,Multi-purpose ladder,20ft,good product.,5
516,Multi-purpose ladder,20ft,good product ,5
517,Multi-purpose ladder,20ft,Good product.,5
518,Multi-purpose ladder,20ft,Good Product!,5
519,Multi-purpose ladder,20ft,Good product ,5
520,Multi-purpose ladder,20ft,fast delivery,5
521,Multi-purpose ladder,20ft,Good product,5
522,Multi-purpose ladder,20ft,Soo helpful ,5
523,Multi-purpose ladder,20ft,product good,5
524,Multi-purpose ladder,20ft,Good product,5
525,Multi-purpose ladder,20ft,Recommended,5
526,Multi-purpose ladder,20ft,this cannot be safely used in scaffolding setting. in scaffolding setting this is unbalanced and dangerous to use. as a ladder this is good.,1
527,Multi-purpose ladder,20ft,Middle hinges are bending when using straight mode. stiffness is very less.afraid to climb.but can use as A shape without any issue.,2
528,Multi-purpose ladder,20ft,Thank you.,5
529,Multi-purpose ladder,20ft,Niyamai👍 ,5
530,Multi-purpose ladder,20ft,good work.,5
531,Multi-purpose ladder,20ft,👍👍👍👍,5
532,Multi-purpose ladder,20ft,perfect,5
533,Multi-purpose ladder,20ft,Great,5
534,Multi-purpose ladder,20ft,Super,5
535,Multi-purpose ladder,20ft,Thanks,5
536,Multi-purpose ladder,20ft,Good,5
537,Step ladder,10ft,I have uploaded the pictures of the received product. please see and decide if you are busy through daraz or not. The product itself is average quality. but the shipping service keeps getting late so I have to call them several times to get the item delivered. customer service from the seller is like okay sir yes sir thank you sir. I mean is it professional ? when the buyer asks about their item its the answer you got ? And the item received with damages on it. I don't know how it was damaged. but when I unwrap the packaging the cut was there in one leg of the ladder. shipping service is late.and they are in a hurry. don't know but can't recommend certis Lanka now sitrek or something to anyone. if you're not a bargain hunter like me please do purchase. directly from dealer.overall shopping experience is not good. Really sorry about that.,4
538,Step ladder,10ft,"greate value for the price the built quality is reasonable, NOT super sturdy the shipping from daraz is very slow, took longer time to receive, need to improve shipping time for larger goods from daraz",4
539,Step ladder,10ft,"Grate Quality ladder, Very stady and light weight",5
540,Step ladder,10ft,"The entire ladder was very well packed.Also, Delivery was sent to a concessionary price and care.But there were only 10 days after Dili.Thanks to Swismek to the Drazz too.👍👍👍👍👍👍👍",5
541,Step ladder,10ft,The order was very securely.Thanks for Swisstek and Dures,5
542,Step ladder,10ft,This time the local delivery time was too long. Even though the ladder reached Jaffna on Friday the 8th the transportation within took another 8 days. The communication of the delivery agent was very poor. I wasted two whole days waiting for delivery. The quality of the ladder is good. Seller response was satisfied ,5
543,Step ladder,10ft,Received in good condition. Received fast. Thanks a lot ,5
544,Step ladder,10ft,excellent. very well packed. Delivered before due date ,5
545,Step ladder,10ft,good service. strong & quality ladder.thanks,5
546,Step ladder,10ft,"after one or two years, came here to review this product, and it is still good ",4
547,Step ladder,10ft,*Hi quality *low price👌✌,5
548,Step ladder,10ft,Good product ,5
549,Step ladder,10ft,Perfect ,5
550,Step ladder,10ft,Good ,5
551,Step ladder,10ft,I purchased 10' feet Swissttek Ladder les than one month it has brokened & out of shape I made complain to their direct customer service no they won't accept my complain & they told me to come through the Daraz Please kindly attend to this matter & reply to me immediately. KP.Rohan Pathirana ,1
552,Step ladder,10ft,⁣super,5
553,Step ladder,10ft,"Daraz you have to shame your pick up service....very poor cordinating with collecting teams...even my seller agreed to refund my payment since 17th may still you failed to arrange pick to collect my return almost 02 weeks.nothing happen even i hv updated my returnis 10feet ladder...you send to bike riders to collect it...what a joke daraz y you all r wasting our time asking my location every day to collect it... if i purchased from you, you take every effort to deliver the goods within 2 or 3 days .....see my history with daraz now what happened if you dont hv any interest o gain you dont actively intervene for that ....i l take up this never give up",5
554,Step ladder,10ft,"Good ledder, only i use in 1st floor, not suitable for ground floor, height is too much, 5ft,6ft,7ft ok for ground floor ",5
555,Step ladder,10ft,Good quality,5
556,Step ladder,10ft,Great product!,5
557,Step ladder,10ft,A 10' swisstec step ladder was delivered well ahead of time. Great service . Will comment on the product after using it. Tilak Piyaratne .,5
558,Step ladder,10ft,Thank you for your best service. ,5
559,Step ladder,10ft,"Even though it was well packed, there were few scratches. Product is good though. fast delivery. ",4
560,Step ladder,10ft,Very good ,5
561,Step ladder,10ft,"Received as expected. No issue on delivery, fully bubble wrapped package.",5
562,Step ladder,10ft,quality product..exactly as given in the picture.. very satisfied ,5
563,Step ladder,10ft,ordered on 17th May 2022. still not received.,5
564,Step ladder,10ft,Good product. fast delivery. thank you,5
565,Step ladder,10ft,"Good product , But delivery very slow ",5
566,Step ladder,10ft,ladder not strong poor design leg angle to larger ,1
567,Step ladder,10ft,product is okay with the price.,4
568,Step ladder,10ft,good product Recommended ,5
569,Step ladder,10ft,Product quality is good.,5
570,Step ladder,10ft,good quality product ,5
571,Step ladder,10ft,Thanks.Good Quality.,5
572,Step ladder,10ft,Good Build Quality.,5
573,Step ladder,10ft,best product...,5
574,Step ladder,10ft,⁣⁣මිලට වටිනවා..,5
575,Step ladder,10ft,good product. ,5
576,Step ladder,10ft,Decent product,5
577,Step ladder,10ft,Very good ,5
578,Step ladder,10ft,Solid ladder.,5
579,Step ladder,10ft,Good product ,5
580,Step ladder,10ft,Good quality.,5
581,Step ladder,10ft,Very good!,5
582,Step ladder,10ft,it's good ,5
583,Step ladder,4ft,The ladder was delivered carefully and fast. Product is good. Only negative comment is seller should have cleaned the top of the ladder before shipping as it’s dirty and not what one expects when purchasing a unused/new item. #WIN,4
584,Step ladder,4ft,Handy item to be used in kitchen and rooms to take thing's in tall cupboards. essay to carry. but there are sharp edges were could be minor injuries. I did not expect this from a reputed manufacturer. they should take serious not to improve the final touches on their products.,4
585,Step ladder,4ft,Thanks Daraz🧡 is a new immediate dust.,5
586,Step ladder,4ft,Very good and the sweet is good,5
587,Step ladder,4ft,Very good. Received with good packaging,5
588,Step ladder,4ft,good quality ,5
589,Step ladder,4ft,Good quality ,5
590,Step ladder,4ft,sturdy ladder. edges a bit sharp but worth the price and gets the job done.,4
591,Step ladder,4ft,Good product,5
592,Step ladder,4ft,good👍,5
593,Step ladder,4ft,#win good,5
594,Step ladder,4ft,Good,5
595,Step ladder,4ft,Great product!,5
596,Step ladder,4ft,Premium Quality and Safety Packing... No any Damages or Scratches... Thanks Swisstek and Daraz.... #WIN,5
597,Step ladder,4ft,"Product is good, but took extra long time to deliver. Most probably due to diesel crisis in the country.",5
598,Step ladder,4ft,dont buy anything this seller. no any support after purchase...im disapointed. dont buy anything.,1
599,Step ladder,4ft,Good product. Fast delivery ,5
600,Step ladder,4ft,Highly recommend this product and the seller ,5
601,Step ladder,4ft,Hodai Haiyath Hodai Eth Curie is Charter,4
602,Step ladder,4ft,Very strong ladder. Worth the money. ,5
603,Step ladder,4ft,Opening angle is bit too small,3
604,Step ladder,4ft,Heavy duty useful thank you ,5
605,Step ladder,4ft,very handy to use at home.,5
606,Step ladder,4ft,there is a damage in step,2
607,Step ladder,4ft,Excellent b #WIN,5
608,Step ladder,4ft,Good Product.,5
609,Step ladder,4ft,good,5
610,Step ladder,6ft,it was perfect delivered and good quality worth for money thanks daraz and Swiss technology.,5
611,Step ladder,6ft,හොඳ product එකක්. joints එහෙම හොඳට fix කරලා තියනව. ගෙදරක වැඩ වලට හොදටම ප්‍රමාණවත්. delivery එකට දවස් 3ක් ගියා,5
612,Step ladder,6ft,Thankyou daraz and Swisstek company.. Good packing.. Speed delivery. Reasonable price and i use the daraz promo voucher & Gems.. Most recommend product ❤️,5
613,Step ladder,6ft,The product is as described in the listing. Well packed. Fully worth for the price. Overall finishing is very good. Need to highlight some failure on quality check where some reverts were left with shaped edges endup with few painful scrachs. Image attached. improvement suggestion: It would be great if manufacture can add a rubber cover to the edges of the top step.,5
614,Step ladder,6ft,Good product I recommend this seller,5
615,Step ladder,6ft,superb.,5
616,Step ladder,6ft,Good finish and valuable product. low price 👍 well packing👍 seller communications very well. thank you daraz and seller🙂,5
617,Step ladder,6ft,"Good rapping , Quality good , Supply from Swisstek company ",5
618,Step ladder,6ft,6 ft Step Ladder delivered yesterday.... packing Good... Rs 8710 (11/11 sale) thanks seller...,5
619,Step ladder,6ft,Wrong item delivered. Can you send one 7’ ladder and one 6’ ladder and take this.,5
620,Step ladder,6ft,very fast delivery product is ok well packed use full product and I like it ,5
621,Step ladder,6ft,"Received nicely packed, in good condition, well according to the description, no short-falls notised, durability to be checked in use. Tnx.",5
622,Step ladder,6ft,Good product..& nicely packing...daraz delivery service also good.dont get fear to buy this product from the seller...Good quality...Thank u so much seller & Daraz ,5
623,Step ladder,6ft,very good product with seller warranty.. delivered carefully without any damage.. ordered another ladder and got it delivered too ,5
624,Step ladder,6ft,"The super-pudt is ... came to your own. Great, better now.It's not to be brought to work and get started.",5
625,Step ladder,6ft,"Packaging: Excellent. No damage to the item Quality: Superb quality, Worth for the amount: Worth it.(At the time I purchased it worth it. But now the price is almost more than double that time.) Recommending or not: Highly recommended. Note: Delivery got dealy due to the fuel situation.",5
626,Step ladder,6ft,"such good one, well packed & worthy for money, 100% satisfied.",5
627,Step ladder,6ft,Light weight and build is neat. Durability depends on lightbuse I guess. Worth for the price. ,5
628,Step ladder,6ft,"Good, I recommend this product ",5
629,Step ladder,6ft,Highly recommend... I have been using this for more than year now.. 🔥 #WIN,5
630,Step ladder,6ft,superb item. thanks ,5
631,Step ladder,6ft,very good product with seller warraty.. carefully delivered without any damage ,5
632,Step ladder,6ft,Good quality ladder. As mentioned in the description everything is good. #win,5
633,Step ladder,6ft,It's really good. Affordable price and everything looks great. I'll recommend this to anyone. Only problem is delivery delay. But it's fine.,5
634,Step ladder,6ft,Very strong product. recommended to buy.,5
635,Step ladder,6ft,Matches with the description!! Fast delivery!! Good and worthy product!! Thank you Daraz #WIN25!!,5
636,Step ladder,6ft,Good product ...🔥🔥👍,5
637,Step ladder,6ft,this step ladder is really good for the price nothing to complain about,5
638,Step ladder,6ft,Superb 🤘,5
639,Step ladder,6ft,Not too thick but Worth the price,4
640,Step ladder,6ft,Good product worth for price.,5
641,Step ladder,6ft,well packed .. good product.. recommended .. ,5
642,Step ladder,6ft,good quality thanks Daraz.,5
643,Step ladder,6ft,"Well, there is a time to use.",5
644,Step ladder,6ft,Good product..,5
645,Step ladder,6ft,Well packing,5
646,Step ladder,6ft,Good Product. Delivered at time in good condition.,5
647,Step ladder,6ft,Thank you so much for the quality Step Ladder with fast delivery ⭐⭐⭐⭐⭐,5
648,Step ladder,6ft,Very good .iam satisfied with this.,5
649,Step ladder,6ft,Too much time take for delivery.. ,5
650,Step ladder,6ft,Item was damaged when received.,1
651,Step ladder,6ft,"superb, fast delivery. ",5
652,Step ladder,6ft,"product is worth to money ,",5
653,Step ladder,6ft,"product is worth to money ,",5
654,Step ladder,6ft,great product 👌 ,5
655,Step ladder,6ft,good product ❤😊 ,5
656,Step ladder,6ft,very satisfied. ,5
657,Step ladder,6ft,Delivery service chap of deplorable manners.,4
658,Step ladder,6ft,good product ,5
659,Step ladder,6ft,It's good. ,5
660,Step ladder,6ft,Good Quality,5
661,Step ladder,6ft,Good quality. Original product. Shipped without any issue. No damages.,5
662,Step ladder,6ft,good product thanks ,5
663,Step ladder,6ft,As advertised. Thank you,5
664,Step ladder,6ft,Good product. Fast delivery,5
665,Step ladder,6ft,Great,5
666,Step ladder,6ft,Delivery service was not to the standard n got Delayed.,4
667,Step ladder,6ft,Very good product. Offers great value for money. Quick and hassle free deliver. Delivered safely packed and the product was in brand new condition. ,5
668,Step ladder,6ft,"product itself is of good quality, but the delivery service fell short and bad customer service I went almost 2km to pick up the item 🤬🤬",4
669,Step ladder,6ft,"Good product, worth for the money. Well packed. ",5
670,Step ladder,6ft,Good product ,5
671,Step ladder,6ft,worth for money,5
672,Step ladder,6ft,Well packed and delivered promptly. Thanks seller and Daraz ,5
673,Step ladder,6ft,ladder eka patta,5
674,Step ladder,6ft,💯💯,5
675,Step ladder,6ft,good quality 🙂,5
676,Step ladder,6ft,SUPIRI ,5
677,Step ladder,6ft,Great,5
678,Step ladder,6ft,Good quality....,4
679,Step ladder,6ft,Finish not upto Foreign standards. Al. edges are not smoothened properly.,5
680,Step ladder,6ft,"Light weight, strong and quality ladder. Very useful for household needs.",5
681,Step ladder,6ft,delivery late.item good.,4
682,Step ladder,6ft,good,4
683,Step ladder,6ft,An amazing product. Very durable. good quality.,5
684,Step ladder,6ft,Excellent product ,5
685,Step ladder,6ft,"received with good condition , Delivery partner is verify supportful Item is best , Recommended fie others thanks ",5
686,Step ladder,6ft,"1st I ordered a 7ft ladder, without delivering after 10days they cancelled my order as delivery attempted fail. I was at home didn't go anywhere. I lost my discount too. Again I had to order a 6 ft ladder to that amount. That delivery was super fast and delivered within 3 days. ",5
687,Step ladder,6ft,Excellent product and value for money. speed delivery than expected. Good delivery service and friendly behaviour.,5
688,Step ladder,6ft,"GOOD COMPANY, AS EXPECTED FROM A REPUTED COMPANY U. GET GOOD PRODUCTS. THANK YOU. MRS.LOUISE PEREIRA. ",5
689,Step ladder,6ft,"very poor quality, never thought it is this bad. really scared to climb on this as i feel like it will break a part. one leg was bended when i received the ladder.",2
690,Step ladder,6ft,Doesn’t look that sturdy - may not last long if you don’t carefully use it. Folding is not smooth at all.,3
691,Step ladder,6ft,Same as the picture. it's light wight and has good stable.some edges are sharp but worth of money and very satisfy about the product.,5
692,Step ladder,6ft,can be recommended. good quality.,5
693,Step ladder,6ft,really good product. worth for money.,5
694,Step ladder,6ft,its a Good product. Very useful one.,5
695,Step ladder,6ft,Ladder is OK. But it is not strong enough. And the edges are so sharp and risky to use. I think this is bit too expensive ,3
696,Step ladder,6ft,Good functional step ladder,5
