Campaign_Type,Target_Audience,Duration,Ad_Type,Conversion_Rate,Ad_Budget,Reach,Clicks,Impressions,Date
General,Men 25-34,60 days,YouTube,0.11,2984000,932541,47043,865508,8/22/2021
General,Men 25-34,30 days,Daraz,0.15,2515000,837684,45089,881292,6/13/2021
General,Women 25-34,45 days,Daraz,0.07,2687000,972925,30336,745913,8/7/2021
General,Men 25-34,15 days,Google Ads,0.08,2097000,1165457,44084,988956,7/11/2021
General,All Ages,45 days,Website,0.03,2192000,982595,42984,948290,7/24/2021
General,Women 25-34,45 days,Daraz,0.1,2001000,959364,38101,977205,12/23/2021
General,Men 25-34,15 days,YouTube,0.09,978000,1053062,38790,804004,2/5/2021
General,Women 35-44,60 days,Google Ads,0.03,1329000,900936,31900,765688,12/1/2021
General,Men 25-34,45 days,Website,0.12,1112000,1046010,30592,849073,9/12/2021
General,Women 35-44,45 days,Daraz,0.09,1237000,801007,41991,794979,4/22/2021
General,All Ages,45 days,Daraz,0.03,3031000,991640,37655,818342,6/2/2021
General,Women 35-44,15 days,Instagram,0.06,2864000,1023629,30094,882375,9/17/2021
General,Women 25-34,45 days,YouTube,0.11,2114000,1013524,31639,813475,10/27/2021
General,Men 25-34,60 days,Daraz,0.13,2847000,944382,43198,887472,8/30/2021
General,Women 35-44,15 days,Website,0.02,2184000,946832,38194,908353,2/7/2021
General,All Ages,30 days,Daraz,0.1,2462000,1042499,32130,930700,10/17/2021
General,All Ages,45 days,YouTube,0.13,2158000,915241,49750,875805,4/15/2021
General,Men 25-34,60 days,Google Ads,0.03,2338000,964550,33893,978165,4/13/2021
General,Women 35-44,15 days,Google Ads,0.01,1035000,1152365,39578,957620,2/7/2021
General,Women 35-44,60 days,Daraz,0.12,1863000,1012664,40028,866863,9/11/2021
General,Men 18-24,45 days,YouTube,0.1,1518000,841243,37743,863745,3/18/2021
General,Men 25-34,15 days,Daraz,0.06,2878000,1096788,40568,960601,11/7/2021
General,Men 18-24,60 days,Instagram,0.09,1027000,1138345,36561,978928,7/9/2021
General,Men 18-24,15 days,Website,0.05,1904000,825332,49142,847555,9/6/2021
General,Women 25-34,15 days,YouTube,0.15,1640000,1027406,42417,710196,5/13/2021
General,Men 18-24,60 days,Google Ads,0.07,3165000,976007,40698,724668,5/28/2021
General,All Ages,30 days,Instagram,0.07,2952000,848068,37688,947787,3/3/2021
General,All Ages,60 days,Website,0.04,2313000,871522,35294,923539,12/12/2021
General,Women 25-34,45 days,Website,0.14,3087000,823734,32951,971611,9/19/2021
General,Men 25-34,15 days,Website,0.08,3173000,841840,44665,868682,3/29/2021
General,Men 18-24,15 days,Instagram,0.12,2112000,854940,48273,731509,9/14/2021
General,Women 25-34,60 days,Website,0.13,1820000,1137209,32042,965013,5/1/2021
General,All Ages,60 days,Website,0.11,1558000,1140207,44027,867010,12/21/2021
General,Men 18-24,60 days,Facebook,0.11,2211000,1123806,32272,989664,11/5/2021
General,Women 35-44,30 days,Facebook,0.11,1145000,1025961,49499,925746,9/5/2021
General,Men 18-24,30 days,Facebook,0.09,1858000,1011264,37143,732206,5/25/2021
General,Women 35-44,15 days,YouTube,0.06,3034000,894809,36590,970706,2/11/2021
General,All Ages,60 days,Website,0.08,1899000,1001582,37761,889983,9/16/2021
General,Men 18-24,60 days,YouTube,0.12,2808000,931488,44496,780955,11/26/2021
General,Men 18-24,45 days,YouTube,0.08,2086000,885497,45820,901396,6/26/2021
General,Men 25-34,60 days,Facebook,0.08,2524000,847286,40077,809253,10/13/2021
General,All Ages,30 days,Facebook,0.12,1124000,929277,45631,785486,8/6/2021
General,All Ages,30 days,Website,0.12,2824000,1099723,34771,942965,6/23/2021
General,Men 18-24,45 days,Daraz,0.04,1012000,1050210,43979,713918,8/18/2021
General,Men 25-34,30 days,Website,0.06,2196000,943369,40114,900437,12/27/2021
General,Men 25-34,15 days,Website,0.03,2457000,812620,31263,745551,11/27/2021
General,Men 25-34,45 days,Instagram,0.06,2107000,978156,48837,737256,7/30/2021
General,Women 25-34,60 days,Daraz,0.08,1711000,835739,30845,892448,7/15/2021
General,Men 25-34,60 days,Daraz,0.11,1941000,1027241,36838,927725,7/26/2021
General,All Ages,15 days,YouTube,0.07,2128000,1041297,49601,711657,8/28/2021
General,Women 35-44,30 days,Instagram,0.14,843000,853730,35728,720213,12/23/2021
General,Women 25-34,45 days,Daraz,0.1,2463000,838312,37368,810905,10/25/2021
General,Women 25-34,45 days,Website,0.06,2097000,872751,48168,757689,12/20/2021
General,Men 25-34,15 days,Facebook,0.11,1154000,1061947,38087,733030,8/1/2021
General,Women 35-44,60 days,Google Ads,0.11,2248000,1035588,45063,780271,5/27/2021
General,Men 18-24,45 days,Daraz,0.1,3154000,1142938,30638,927954,4/11/2021
General,Women 35-44,30 days,Website,0.03,1794000,1095348,47383,901925,8/7/2021
General,All Ages,60 days,Google Ads,0.03,1066000,1089551,34071,854340,7/30/2021
General,Men 25-34,15 days,Google Ads,0.15,3163000,1183528,47746,981189,3/6/2021
General,Men 25-34,45 days,Daraz,0.09,1996000,1057949,45464,920397,10/25/2021
General,Men 25-34,15 days,Daraz,0.03,1665000,904073,47474,869028,7/10/2021
General,Men 25-34,30 days,YouTube,0.04,2495000,857517,34202,776215,5/10/2021
General,Men 25-34,45 days,Facebook,0.06,1597000,1013659,37488,778393,10/7/2021
General,Men 18-24,60 days,Facebook,0.11,1413000,1154848,47911,907560,5/25/2021
General,Women 25-34,60 days,Instagram,0.05,1609000,878554,46820,874105,10/18/2021
General,Men 25-34,30 days,Website,0.06,1167000,1158265,44915,994264,5/29/2021
General,Men 25-34,60 days,Daraz,0.11,3006000,911728,46218,925319,4/21/2021
General,Women 35-44,60 days,YouTube,0.15,1327000,1092808,48677,843586,5/13/2021
General,Women 35-44,15 days,YouTube,0.13,2262000,916753,31992,985389,8/20/2021
General,All Ages,15 days,YouTube,0.07,1250000,1020349,48303,973307,11/22/2021
General,Men 18-24,15 days,Instagram,0.02,2362000,1026440,32400,939447,9/23/2021
General,Women 35-44,60 days,Website,0.1,2187000,1079658,38726,847605,6/27/2021
General,Men 25-34,15 days,Facebook,0.09,1066000,984976,35263,940227,10/2/2021
General,Men 25-34,45 days,Google Ads,0.14,3116000,942166,30139,944680,6/9/2021
General,All Ages,45 days,Instagram,0.12,3198000,1077707,42207,833508,8/24/2021
General,Men 18-24,30 days,Daraz,0.07,1359000,1040985,42107,991970,8/1/2021
General,All Ages,30 days,Website,0.12,2099000,940686,49140,909620,3/20/2021
General,Women 25-34,15 days,Daraz,0.14,1730000,919771,44905,903036,12/26/2021
General,Women 35-44,30 days,Instagram,0.11,2134000,1086240,41248,728224,10/10/2021
General,Women 35-44,60 days,Daraz,0.05,838000,1181447,34232,884856,4/12/2021
General,Women 25-34,60 days,YouTube,0.09,2788000,979198,42605,903391,6/4/2021
General,Men 25-34,15 days,YouTube,0.08,1978000,837032,48084,886644,2/14/2021
General,Women 25-34,15 days,Website,0.08,1973000,1043474,37148,882052,1/15/2021
General,Men 25-34,15 days,YouTube,0.1,2265000,1167678,49334,775662,1/24/2021
General,Women 25-34,45 days,Daraz,0.01,840000,938242,36690,822332,11/10/2021
General,Women 25-34,60 days,Google Ads,0.01,803000,846099,42168,772932,11/12/2021
General,All Ages,15 days,YouTube,0.09,1079000,908432,45721,760327,7/7/2021
General,Women 25-34,60 days,Website,0.09,1203000,1174709,44644,833920,7/16/2021
General,Men 25-34,45 days,Instagram,0.04,3052000,901570,42583,833749,4/14/2021
General,Women 35-44,15 days,Instagram,0.11,815000,868287,37125,886813,12/1/2021
General,Men 25-34,15 days,Google Ads,0.01,2456000,980173,33347,977002,8/24/2021
General,Women 25-34,15 days,Daraz,0.03,2701000,929050,47522,964489,4/19/2021
General,All Ages,60 days,Website,0.13,1270000,885058,49672,955937,2/4/2021
General,Women 35-44,60 days,Website,0.04,1729000,1065902,35034,946383,2/17/2021
General,Women 35-44,15 days,Daraz,0.04,2691000,853456,34908,729510,4/14/2021
General,Women 25-34,60 days,Instagram,0.05,1632000,1030421,30374,715076,9/30/2021
General,Women 25-34,60 days,YouTube,0.07,846000,908943,36560,746364,1/20/2021
General,Women 35-44,45 days,Google Ads,0.07,1126000,1188375,48317,878583,5/16/2021
General,All Ages,45 days,Google Ads,0.05,1573000,1091747,34479,712073,8/23/2021
General,Women 25-34,45 days,Website,0.04,1413000,950804,34937,785367,5/2/2021
General,Men 18-24,30 days,Daraz,0.02,1524000,862807,45598,897314,11/18/2021
General,Men 25-34,45 days,Website,0.04,857000,849302,40472,926574,5/6/2021
General,Women 35-44,60 days,Instagram,0.01,2957000,987598,31130,894044,3/26/2021
General,Men 25-34,15 days,Facebook,0.03,1717000,938429,45693,723243,9/21/2021
General,Women 35-44,60 days,Facebook,0.1,880000,1189200,32358,859137,9/6/2021
General,Women 25-34,30 days,YouTube,0.03,2131000,1153601,48578,702239,7/15/2021
General,Men 18-24,60 days,YouTube,0.08,2384000,826646,48652,846189,11/3/2021
General,Women 25-34,45 days,Google Ads,0.1,2711000,1187296,40212,908927,8/16/2021
General,Men 18-24,60 days,Daraz,0.09,826000,850425,48182,900988,5/11/2021
General,Men 25-34,15 days,Website,0.04,2979000,1013660,35514,899874,10/12/2021
General,All Ages,45 days,Google Ads,0.05,1300000,930043,39621,928614,5/17/2021
General,Women 35-44,60 days,Website,0.06,1171000,1086866,30919,898640,11/2/2021
General,All Ages,15 days,Google Ads,0.01,1515000,808033,36342,790174,7/27/2021
General,Men 25-34,15 days,YouTube,0.15,1434000,954387,47496,732567,11/21/2021
General,Men 18-24,30 days,Website,0.11,1675000,1004914,48768,963415,6/29/2021
General,Women 25-34,45 days,Google Ads,0.09,2458000,1175693,38115,939038,6/9/2021
General,Women 35-44,60 days,Facebook,0.01,2394000,1138216,44740,766539,4/1/2021
General,Women 25-34,15 days,YouTube,0.11,851000,926889,34505,749719,4/6/2021
General,Men 25-34,15 days,Daraz,0.05,1447000,1195368,31679,722247,3/17/2021
General,Women 25-34,60 days,Facebook,0.06,852000,1014676,30318,724976,9/5/2021
General,Women 25-34,15 days,Website,0.1,2005000,921828,46776,717623,9/21/2021
General,Women 25-34,60 days,YouTube,0.09,2541000,813075,40828,811282,5/27/2021
General,Men 18-24,60 days,YouTube,0.08,1922000,1071158,45961,892023,1/23/2021
General,Women 25-34,30 days,YouTube,0.02,2607000,1125084,33459,882870,12/29/2021
General,Men 18-24,30 days,Google Ads,0.1,1191000,890328,34614,732608,1/15/2021
General,Men 18-24,15 days,Website,0.01,1436000,1158170,46846,824881,3/10/2021
General,Women 35-44,45 days,YouTube,0.07,2127000,1014487,30573,919579,1/14/2021
General,Women 35-44,45 days,Google Ads,0.09,1010000,1135957,39490,980469,12/30/2021
General,Men 18-24,30 days,Website,0.06,1204000,1170554,32810,709423,5/5/2021
General,Women 25-34,60 days,Instagram,0.02,2608000,804152,46533,821531,5/8/2021
General,Women 35-44,45 days,Daraz,0.09,1906000,836408,37098,990402,8/22/2021
General,Men 18-24,30 days,Google Ads,0.11,3019000,1026543,49447,701488,11/21/2021
General,Men 25-34,45 days,Daraz,0.12,2082000,1133756,37601,844053,5/6/2021
General,Men 25-34,45 days,Daraz,0.05,2659000,883972,39063,784041,11/3/2021
General,All Ages,45 days,YouTube,0.11,2248000,914324,32248,958215,12/31/2021
General,All Ages,60 days,Google Ads,0.12,2445000,1142654,39266,985453,9/12/2021
General,All Ages,15 days,YouTube,0.12,2637000,1148134,42321,942105,10/28/2021
General,All Ages,15 days,YouTube,0.13,869000,1059090,39582,842618,7/12/2021
General,All Ages,15 days,Facebook,0.08,2386000,932899,43617,836731,4/18/2021
General,Women 25-34,15 days,Instagram,0.14,3135000,951000,39988,910483,4/29/2021
General,Women 35-44,30 days,Instagram,0.12,2143000,800464,48258,860389,7/25/2021
General,All Ages,60 days,Website,0.12,2979000,1128767,47943,939577,7/30/2021
General,Women 25-34,60 days,Instagram,0.09,2308000,927327,45605,920908,8/1/2021
General,Men 18-24,60 days,YouTube,0.13,2334000,926662,32334,897836,12/21/2021
General,Men 25-34,45 days,Instagram,0.02,1777000,830921,49447,777163,9/16/2021
General,All Ages,30 days,YouTube,0.01,2111000,867068,44314,827921,9/13/2021
General,Women 35-44,15 days,Daraz,0.12,2483000,1182473,34241,762325,12/15/2021
General,Women 25-34,60 days,YouTube,0.06,1631000,992387,41963,897875,4/16/2021
General,Women 25-34,30 days,YouTube,0.05,3202000,923644,33055,978066,5/26/2021
General,Men 25-34,15 days,Google Ads,0.02,2091000,874054,39723,904845,7/26/2021
General,All Ages,45 days,Website,0.14,2565000,1053726,43539,773767,5/22/2021
General,Women 25-34,45 days,Website,0.09,1587000,836415,38285,838575,2/11/2021
General,All Ages,60 days,Facebook,0.12,3137000,836845,32230,822237,6/1/2021
General,All Ages,30 days,Website,0.11,2373000,876333,40269,919538,11/17/2021
General,Women 25-34,45 days,Website,0.13,2618000,1127583,39028,988595,12/2/2021
General,Men 18-24,45 days,Website,0.08,3025000,854132,37013,765050,5/4/2021
General,Women 25-34,30 days,Website,0.14,1842000,1088580,48518,724322,6/18/2021
General,All Ages,15 days,Instagram,0.02,2056000,820715,42249,920757,5/5/2021
General,Women 35-44,30 days,Website,0.09,1013000,910076,37791,857957,8/17/2021
General,Men 18-24,45 days,Google Ads,0.09,2201000,1132335,44549,859495,10/28/2021
General,Women 35-44,15 days,Google Ads,0.07,2287000,1112337,47814,902902,7/10/2021
General,Women 35-44,60 days,Instagram,0.05,1921000,1075510,48751,728530,8/25/2021
General,Men 18-24,45 days,Facebook,0.08,3111000,1158194,37158,783003,4/18/2021
General,Men 18-24,45 days,Instagram,0.09,3031000,875685,41361,998447,5/12/2021
General,Men 18-24,30 days,YouTube,0.05,1469000,807921,43872,772552,1/22/2021
General,Women 35-44,15 days,Daraz,0.11,1524000,1069469,31110,808629,1/20/2021
General,All Ages,60 days,Instagram,0.03,2679000,809746,33620,989894,11/6/2021
General,Women 25-34,60 days,Daraz,0.11,2751000,1157031,37038,778370,11/14/2021
General,Women 35-44,45 days,Daraz,0.05,2720000,1159976,30628,750277,5/9/2021
General,Women 35-44,60 days,Daraz,0.03,3121000,947798,31683,963493,3/8/2021
General,Women 35-44,30 days,Google Ads,0.01,2537000,991655,34151,821118,2/10/2021
General,Men 18-24,15 days,YouTube,0.11,2532000,967840,34402,956856,6/29/2021
General,Women 35-44,30 days,Website,0.06,2798000,830708,45855,975151,4/24/2021
General,All Ages,60 days,Facebook,0.12,1865000,931483,35314,789946,3/13/2021
General,Women 25-34,30 days,YouTube,0.14,2308000,1016871,44495,892502,11/22/2021
General,Women 35-44,15 days,Google Ads,0.1,1815000,1151662,34097,846583,11/19/2021
General,Men 18-24,45 days,Google Ads,0.09,3009000,890338,30612,953280,4/20/2021
General,All Ages,30 days,Instagram,0.04,2101000,1019393,46219,896344,6/22/2021
General,Men 18-24,60 days,Website,0.14,2784000,1063066,40870,906014,10/8/2021
General,Men 18-24,30 days,Google Ads,0.07,1158000,1181160,31855,782954,10/20/2021
General,Men 25-34,45 days,Website,0.13,2656000,1197845,46324,953576,12/25/2021
General,Men 25-34,30 days,Daraz,0.07,990000,1181549,43310,984484,10/31/2021
General,Men 18-24,30 days,YouTube,0.02,2650000,874841,41030,768651,8/28/2021
General,Men 25-34,45 days,Instagram,0.07,1134000,1148078,41135,781117,1/2/2021
General,Women 35-44,60 days,Facebook,0.04,1597000,913972,30181,784084,4/3/2021
General,All Ages,45 days,YouTube,0.01,3101000,937916,32576,912255,1/13/2021
General,Men 25-34,60 days,Google Ads,0.13,1955000,1042079,47558,935387,11/5/2021
General,All Ages,30 days,Google Ads,0.03,2024000,872310,48786,714902,12/25/2021
General,Men 18-24,60 days,Facebook,0.02,2996000,823602,37790,991567,2/14/2021
General,Men 25-34,30 days,Google Ads,0.01,1362000,1084259,30739,764190,10/15/2021
General,Women 35-44,60 days,Website,0.01,1804000,835768,44351,912631,11/20/2021
General,Men 18-24,45 days,Google Ads,0.07,971000,1040154,33087,904080,5/22/2021
General,Women 35-44,15 days,Google Ads,0.15,2785000,1092345,48380,810014,7/23/2021
General,All Ages,30 days,Website,0.09,2937000,1169069,44757,950285,8/19/2021
General,Women 25-34,60 days,Instagram,0.08,2333000,1179451,45086,967959,9/21/2021
General,Women 35-44,15 days,Instagram,0.14,2584000,1075582,49923,728633,3/26/2021
General,All Ages,60 days,Google Ads,0.1,2111000,1058210,41228,715686,5/5/2021
General,Men 25-34,45 days,Website,0.13,1715000,1081642,47637,945665,7/24/2021
General,Men 18-24,30 days,Instagram,0.08,1183000,997304,37082,775083,10/19/2021
General,Women 25-34,45 days,Website,0.14,2831000,844867,49019,878421,11/7/2021
General,Men 18-24,60 days,Instagram,0.15,941000,1000001,45076,844651,10/28/2021
General,Women 35-44,15 days,YouTube,0.1,1412000,991923,32720,869579,2/23/2021
General,Women 25-34,30 days,Website,0.01,898000,945454,38213,787647,11/23/2021
General,Women 25-34,60 days,Daraz,0.03,2426000,1191412,32540,921918,12/13/2021
General,Women 35-44,30 days,Facebook,0.1,2576000,828157,40459,968043,7/8/2021
General,All Ages,30 days,Facebook,0.1,1410000,1000765,40804,769303,7/9/2021
General,Women 35-44,60 days,Website,0.03,1433000,1018509,45083,918836,9/30/2021
General,Men 25-34,45 days,Google Ads,0.06,2647000,890791,37050,897933,8/21/2021
General,All Ages,45 days,Daraz,0.07,1488000,952718,37378,804242,7/29/2021
General,Women 35-44,45 days,YouTube,0.1,2899000,998220,37795,960024,6/7/2021
General,All Ages,60 days,Google Ads,0.05,1804000,1172203,38196,730303,4/29/2021
General,Men 18-24,30 days,Google Ads,0.04,3144000,1175623,42081,995703,4/13/2021
General,Women 35-44,30 days,Daraz,0.1,3098000,1149182,32275,945667,11/3/2021
General,Women 35-44,15 days,Website,0.14,2113000,1190874,39356,710738,4/10/2021
General,Women 35-44,60 days,YouTube,0.02,1851000,973436,36250,809458,3/9/2021
General,Men 25-34,60 days,YouTube,0.05,2396000,1003314,34851,871491,1/14/2021
General,Women 25-34,15 days,Instagram,0.05,2891000,1193553,34857,862386,9/23/2021
General,Women 35-44,15 days,Instagram,0.07,2337000,893101,47887,962190,4/30/2021
General,Men 18-24,15 days,Daraz,0.1,2365000,1135910,42966,851298,8/15/2021
General,Men 18-24,30 days,Website,0.03,1268000,909482,35387,744469,12/28/2021
General,All Ages,30 days,YouTube,0.14,2971000,969006,41759,843098,11/5/2021
General,Women 25-34,60 days,Facebook,0.14,1402000,1110086,42776,710699,8/5/2021
General,Women 25-34,30 days,Facebook,0.01,3160000,829121,35086,806838,8/19/2021
General,All Ages,15 days,Google Ads,0.04,2527000,963267,37022,829507,4/23/2021
General,Women 25-34,30 days,Daraz,0.12,1391000,920102,33299,757819,7/8/2021
General,All Ages,45 days,Facebook,0.11,2063000,1084751,30542,897816,7/8/2021
General,Women 35-44,30 days,Facebook,0.05,2169000,814403,35424,726017,6/10/2021
General,Women 25-34,60 days,Facebook,0.11,1766000,1031418,47886,838672,3/13/2021
General,Women 35-44,15 days,YouTube,0.07,1320000,910527,46372,771173,9/26/2021
General,Men 25-34,60 days,Instagram,0.01,3144000,978616,30880,980752,4/14/2021
General,Women 35-44,45 days,YouTube,0.1,2641000,1005814,47434,887018,12/6/2021
General,Women 35-44,15 days,Website,0.13,2090000,859269,41978,817990,6/8/2021
General,Men 25-34,30 days,Website,0.06,2011000,1068302,47406,792070,4/23/2021
General,Men 25-34,15 days,YouTube,0.12,2870000,1025579,47068,969933,8/10/2021
General,Women 25-34,45 days,Daraz,0.07,3053000,964269,35533,966626,3/14/2021
General,All Ages,15 days,YouTube,0.1,3046000,947960,47320,813179,5/12/2021
General,All Ages,60 days,Website,0.04,1428000,1011764,44917,775863,3/25/2021
General,Men 25-34,60 days,YouTube,0.07,1260000,966331,39902,864677,2/27/2021
General,All Ages,30 days,Facebook,0.06,1892000,868589,40914,817790,6/28/2021
General,All Ages,15 days,Google Ads,0.04,3187000,1141779,36798,813791,3/1/2021
General,Men 25-34,45 days,Website,0.08,2856000,1102893,34993,999240,3/23/2021
General,Women 35-44,45 days,Instagram,0.13,1491000,802828,32275,817943,5/23/2021
General,Women 35-44,60 days,YouTube,0.03,2254000,1127096,32137,876293,2/15/2021
General,Men 18-24,15 days,Website,0.11,2005000,882422,49891,799193,7/7/2021
General,Men 18-24,60 days,Daraz,0.11,2353000,1100622,32147,928758,12/13/2021
General,All Ages,60 days,Daraz,0.01,2233000,875124,40766,965829,6/18/2021
General,Women 35-44,45 days,Daraz,0.1,3145000,888981,45285,938227,7/12/2021
General,All Ages,30 days,Facebook,0.12,2886000,897819,43303,838916,7/11/2021
General,Men 18-24,15 days,YouTube,0.1,2981000,977847,37921,873229,3/28/2021
General,All Ages,45 days,Instagram,0.04,3183000,818853,46579,829640,3/31/2021
General,All Ages,15 days,Website,0.15,2297000,941802,36780,930267,12/25/2021
General,Men 25-34,60 days,Facebook,0.07,2954000,1145123,42580,747368,9/5/2021
General,Women 25-34,45 days,Facebook,0.03,824000,1150867,39427,784602,2/13/2021
General,Women 25-34,45 days,Instagram,0.05,1217000,825993,42301,940059,8/27/2021
General,Women 35-44,45 days,YouTube,0.07,2089000,1028187,39830,931720,11/12/2021
General,Women 25-34,30 days,YouTube,0.07,2600000,891166,30050,976081,6/15/2021
General,Women 35-44,15 days,YouTube,0.13,1491000,837801,47544,800680,7/23/2021
General,Men 25-34,15 days,Google Ads,0.01,855000,954315,39425,959230,6/17/2021
General,Men 18-24,30 days,Google Ads,0.09,1356000,851926,31075,972693,5/6/2021
General,Men 25-34,60 days,Facebook,0.12,2319000,978622,49596,753974,5/10/2021
General,Women 35-44,60 days,Instagram,0.1,1649000,888324,38627,890295,2/5/2021
General,Women 25-34,15 days,Google Ads,0.02,2714000,802609,44748,813600,4/21/2021
General,Women 35-44,15 days,Daraz,0.08,1645000,1022954,38872,767841,2/10/2021
General,Women 35-44,15 days,Daraz,0.1,877000,1102458,45036,747561,1/11/2021
General,Women 25-34,60 days,Instagram,0.14,957000,991977,47947,926883,11/8/2021
General,All Ages,15 days,Instagram,0.05,1248000,1157401,35774,879026,11/26/2021
General,All Ages,60 days,Daraz,0.06,1681000,922449,47253,773774,2/8/2021
General,Women 35-44,45 days,YouTube,0.06,1521000,1174013,47679,856339,5/18/2021
General,Men 18-24,45 days,Daraz,0.06,1755000,890997,30370,723875,4/24/2021
General,All Ages,15 days,Website,0.01,2051000,833069,44475,765076,7/17/2021
General,Men 18-24,30 days,Facebook,0.05,2119000,1092152,35704,744822,6/12/2021
General,Men 25-34,45 days,Website,0.15,1711000,1038411,48242,766523,9/18/2021
General,Men 25-34,30 days,Instagram,0.03,951000,802850,31888,974783,5/6/2021
General,All Ages,60 days,Daraz,0.07,2849000,899255,46227,896673,11/8/2021
General,All Ages,60 days,Website,0.15,1001000,940992,38321,911256,9/3/2021
General,Women 25-34,30 days,Website,0.14,898000,1036810,35043,964602,12/18/2021
General,Men 25-34,60 days,YouTube,0.12,1283000,1007249,36497,767688,5/4/2021
General,Women 35-44,45 days,Daraz,0.08,1376000,1067592,34965,844197,7/31/2021
General,All Ages,60 days,Instagram,0.14,2775000,1045862,42401,938852,7/24/2021
General,All Ages,45 days,Daraz,0.08,1709000,842515,44137,945949,2/11/2021
General,Women 35-44,60 days,Google Ads,0.03,931000,967690,33732,896241,10/20/2021
General,Women 25-34,30 days,Website,0.05,1171000,812187,46245,992259,6/24/2021
General,Men 25-34,15 days,Google Ads,0.08,1846000,899516,47947,817096,4/4/2021
General,Women 25-34,30 days,Daraz,0.07,1285000,902755,49888,844184,8/5/2021
General,Men 18-24,30 days,Facebook,0.13,3055000,1197696,35712,848873,6/13/2021
General,All Ages,15 days,Instagram,0.07,3143000,1194221,45382,928386,10/10/2021
General,Women 35-44,45 days,Google Ads,0.15,2184000,843338,33969,997911,12/19/2021
General,Women 25-34,30 days,Daraz,0.02,2199000,1096867,48732,723454,2/27/2021
General,Men 25-34,30 days,Google Ads,0.08,2746000,853862,32008,875063,9/12/2021
General,Men 18-24,30 days,Facebook,0.15,3052000,1181646,49118,955378,11/3/2021
General,Men 18-24,45 days,Facebook,0.1,1362000,1047827,44843,906954,7/13/2021
General,Men 18-24,15 days,Daraz,0.08,2628000,811175,49269,760185,3/12/2021
General,Men 25-34,15 days,Facebook,0.04,1869000,963096,37101,890839,3/21/2021
General,Women 35-44,60 days,Instagram,0.1,2701000,905543,32119,816142,1/25/2021
General,All Ages,60 days,Website,0.07,1213000,983766,38750,868665,3/19/2021
General,Women 25-34,45 days,Instagram,0.02,1200000,1029516,42406,714912,3/25/2021
General,Men 18-24,15 days,Website,0.08,2151000,1019732,46751,873244,7/13/2021
General,Women 25-34,15 days,Daraz,0.11,1601000,965156,31814,766516,7/6/2021
General,Men 25-34,60 days,Google Ads,0.05,1101000,1154402,36030,869432,7/11/2021
General,All Ages,60 days,Daraz,0.09,3010000,815298,31371,992372,1/10/2021
General,Men 18-24,15 days,Instagram,0.06,2728000,1138021,48998,947068,2/17/2021
General,Men 25-34,15 days,YouTube,0.04,3094000,1097513,49702,953845,2/18/2021
General,Women 25-34,60 days,Facebook,0.01,3205000,823137,37621,954656,3/17/2021
General,Men 25-34,30 days,Google Ads,0.08,966000,1078805,48578,774971,5/9/2021
General,Women 35-44,15 days,Facebook,0.01,2199000,860700,48862,933816,8/30/2021
General,Men 25-34,15 days,Website,0.1,1889000,1154227,38966,817103,11/6/2021
General,Men 25-34,45 days,Daraz,0.13,835000,958645,47478,898912,1/29/2021
General,All Ages,30 days,Facebook,0.05,978000,1132709,46441,760352,7/6/2021
General,Women 25-34,30 days,YouTube,0.04,2883000,881837,30498,962533,12/23/2021
General,Men 25-34,60 days,Daraz,0.08,1888000,1010563,30779,820859,12/3/2021
General,Men 25-34,15 days,Website,0.03,1440000,1111459,44157,934694,10/23/2021
General,Women 25-34,15 days,Google Ads,0.12,2774000,834483,43619,722614,4/19/2021
General,Men 18-24,60 days,Daraz,0.02,1344000,1068380,32732,992823,3/30/2021
General,Men 25-34,30 days,Daraz,0.14,2905000,821960,32761,714964,8/5/2021
General,Men 25-34,60 days,Website,0.04,1266000,1160091,49817,836456,1/28/2021
General,Women 35-44,45 days,Google Ads,0.01,3174000,1007543,38789,934172,5/20/2021
General,All Ages,15 days,Instagram,0.1,3165000,803241,37291,886158,8/17/2021
General,All Ages,60 days,Instagram,0.13,2874000,1133702,36256,800268,5/9/2021
General,Women 35-44,15 days,Google Ads,0.05,3119000,1179453,45835,994457,4/15/2021
General,Men 25-34,15 days,Instagram,0.09,976000,966341,46021,721236,6/23/2021
General,Women 25-34,60 days,Facebook,0.03,1570000,1028375,37086,933935,5/31/2021
General,Women 35-44,15 days,Google Ads,0.02,1013000,1017467,37562,756412,2/8/2021
General,Men 18-24,45 days,Daraz,0.14,2724000,1167495,42077,717999,10/4/2021
General,Women 35-44,45 days,Facebook,0.05,1145000,993655,31338,783329,4/1/2021
General,All Ages,30 days,Website,0.07,3019000,885365,41483,730941,12/10/2021
General,All Ages,15 days,Instagram,0.12,2774000,1033971,47633,939483,4/23/2021
General,Men 25-34,15 days,Daraz,0.02,1536000,833211,48690,915368,7/14/2021
General,Men 18-24,30 days,Website,0.11,2154000,828361,46832,792942,12/2/2021
General,Men 25-34,15 days,Instagram,0.12,2298000,878009,33144,869342,12/23/2021
General,Men 25-34,15 days,YouTube,0.08,922000,976642,43391,877512,8/23/2021
General,Men 18-24,60 days,Google Ads,0.06,1651000,951364,46383,823193,12/14/2021
General,Women 35-44,15 days,Facebook,0.08,2618000,1116539,48592,851360,1/6/2021
General,Men 25-34,60 days,YouTube,0.15,2489000,938002,43065,800853,12/15/2021
General,All Ages,30 days,Google Ads,0.13,1893000,1009537,40872,739228,12/30/2021
